Date,Open,High,Low,Close,Adj Close,Volume
2021-03-17,8.605600,8.605600,8.605600,8.605600,8.605600,0
2021-03-18,8.571800,8.571800,8.571800,8.571800,8.571800,0
2021-03-19,8.577400,8.577400,8.577400,8.577400,8.577400,0
2021-03-22,8.615600,8.615600,8.615600,8.615600,8.615600,0
2021-03-23,8.576700,8.576700,8.576700,8.576700,8.576700,0
2021-03-24,8.534000,8.534000,8.534000,8.534000,8.534000,0
2021-03-25,8.584400,8.584400,8.584400,8.584400,8.584400,0
2021-03-26,8.668200,8.668200,8.668200,8.668200,8.668200,0
2021-03-29,8.657300,8.657300,8.657300,8.657300,8.657300,0
2021-03-30,8.664800,8.664800,8.664800,8.664800,8.664800,0
2021-03-31,8.640300,8.640300,8.640300,8.640300,8.640300,0
2021-04-01,8.727100,8.727100,8.727100,8.727100,8.727100,0
2021-04-05,8.788800,8.788800,8.788800,8.788800,8.788800,0
2021-04-06,8.806600,8.806600,8.806600,8.806600,8.806600,0
2021-04-07,8.822800,8.822800,8.822800,8.822800,8.822800,0
2021-04-08,8.840600,8.840600,8.840600,8.840600,8.840600,0
2021-04-09,8.845200,8.845200,8.845200,8.845200,8.845200,0
2021-04-12,8.853700,8.853700,8.853700,8.853700,8.853700,0
2021-04-13,8.857800,8.857800,8.857800,8.857800,8.857800,0
2021-04-14,8.838200,8.838200,8.838200,8.838200,8.838200,0
2021-04-15,8.926200,8.926200,8.926200,8.926200,8.926200,0
2021-04-16,8.935700,8.935700,8.935700,8.935700,8.935700,0
2021-04-19,8.902100,8.902100,8.902100,8.902100,8.902100,0
2021-04-20,8.874900,8.874900,8.874900,8.874900,8.874900,0
2021-04-21,8.882200,8.882200,8.882200,8.882200,8.882200,0
2021-04-22,8.838400,8.838400,8.838400,8.838400,8.838400,0
2021-04-23,8.897300,8.897300,8.897300,8.897300,8.897300,0
2021-04-26,8.869500,8.869500,8.869500,8.869500,8.869500,0
2021-04-27,8.867800,8.867800,8.867800,8.867800,8.867800,0
2021-04-28,8.838500,8.838500,8.838500,8.838500,8.838500,0
2021-04-29,8.836000,8.836000,8.836000,8.836000,8.836000,0
2021-04-30,8.782700,8.782700,8.782700,8.782700,8.782700,0
2021-05-03,8.803400,8.803400,8.803400,8.803400,8.803400,0
2021-05-04,8.765200,8.765200,8.765200,8.765200,8.765200,0
2021-05-05,8.786900,8.786900,8.786900,8.786900,8.786900,0
2021-05-06,8.775300,8.775300,8.775300,8.775300,8.775300,0
2021-05-07,8.831800,8.831800,8.831800,8.831800,8.831800,0
2021-05-10,8.755200,8.755200,8.755200,8.755200,8.755200,0
2021-05-11,8.690600,8.690600,8.690600,8.690600,8.690600,0
2021-05-12,8.573200,8.573200,8.573200,8.573200,8.573200,0
2021-05-13,8.640900,8.640900,8.640900,8.640900,8.640900,0
2021-05-14,8.725200,8.725200,8.725200,8.725200,8.725200,0
2021-05-17,8.693300,8.693300,8.693300,8.693300,8.693300,0
2021-05-18,8.685600,8.685600,8.685600,8.685600,8.685600,0
